,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,imdb_score,movie_titleO,combined
20,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the battle of the five armies,James Nesbitt,7.5,The Hobbit: The Battle of the Five Armies,Peter Jackson Adam Brown Aidan Turner Adventure Fantasy James Nesbitt
21,Marc Webb,Andrew Garfield,Action Adventure Fantasy,Emma Stone,the amazing spider-man,Chris Zylka,7.0,The Amazing Spider-Man,Marc Webb Andrew Garfield Emma Stone Action Adventure Fantasy Chris Zylka
22,Ridley Scott,William Hurt,Action Adventure Drama History,Mark Addy,robin hood,Scott Grimes,6.7,Robin Hood,Ridley Scott William Hurt Mark Addy Action Adventure Drama History Scott Grimes
23,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: the desolation of smaug,James Nesbitt,7.9,The Hobbit: The Desolation of Smaug,Peter Jackson Adam Brown Aidan Turner Adventure Fantasy James Nesbitt
24,Chris Weitz,Eva Green,Adventure Family Fantasy,Christopher Lee,the golden compass,Kristin Scott Thomas,6.1,The Golden Compass,Chris Weitz Eva Green Christopher Lee Adventure Family Fantasy Kristin Scott Thomas
25,Peter Jackson,Thomas Kretschmann,Action Adventure Drama Romance,Naomi Watts,king kong,Evan Parke,7.2,King Kong,Peter Jackson Thomas Kretschmann Naomi Watts Action Adventure Drama Romance Evan Parke
26,James Cameron,Kate Winslet,Drama Romance,Leonardo DiCaprio,titanic,Gloria Stuart,7.7,Titanic,James Cameron Kate Winslet Leonardo DiCaprio Drama Romance Gloria Stuart
27,Anthony Russo,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,captain america: civil war,Chris Evans,8.2,Captain America: Civil War,Anthony Russo Scarlett Johansson Robert Downey Jr. Action Adventure Sci-Fi Chris Evans
28,Peter Berg,Alexander Skarsgård,Action Adventure Sci-Fi Thriller,Liam Neeson,battleship,Tadanobu Asano,5.9,Battleship,Peter Berg Alexander Skarsgård Liam Neeson Action Adventure Sci-Fi Thriller Tadanobu Asano
29,Colin Trevorrow,Judy Greer,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,jurassic world,Omar Sy,7.0,Jurassic World,Colin Trevorrow Judy Greer Bryce Dallas Howard Action Adventure Sci-Fi Thriller Omar Sy
30,Sam Mendes,Helen McCrory,Action Adventure Thriller,Albert Finney,skyfall,Rory Kinnear,7.8,Skyfall,Sam Mendes Helen McCrory Albert Finney Action Adventure Thriller Rory Kinnear
31,Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,spider-man 2,Kirsten Dunst,7.3,Spider-Man 2,Sam Raimi James Franco J.K. Simmons Action Adventure Fantasy Romance Kirsten Dunst
32,Shane Black,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,iron man 3,Don Cheadle,7.2,Iron Man 3,Shane Black Jon Favreau Robert Downey Jr. Action Adventure Sci-Fi Don Cheadle
33,Tim Burton,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice in wonderland,Anne Hathaway,6.5,Alice in Wonderland,Tim Burton Alan Rickman Johnny Depp Adventure Family Fantasy Anne Hathaway
34,Brett Ratner,Kelsey Grammer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,x-men: the last stand,Daniel Cudmore,6.8,X-Men: The Last Stand,Brett Ratner Kelsey Grammer Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller Daniel Cudmore
35,Dan Scanlon,Tyler Labine,Adventure Animation Comedy Family Fantasy,Steve Buscemi,monsters university,Sean Hayes,7.3,Monsters University,Dan Scanlon Tyler Labine Steve Buscemi Adventure Animation Comedy Family Fantasy Sean Hayes
36,Michael Bay,Kevin Dunn,Action Adventure Sci-Fi,Glenn Morshower,transformers: revenge of the fallen,Ramon Rodriguez,6.0,Transformers: Revenge of the Fallen,Michael Bay Kevin Dunn Glenn Morshower Action Adventure Sci-Fi Ramon Rodriguez
37,Michael Bay,Sophia Myles,Action Adventure Sci-Fi,Bingbing Li,transformers: age of extinction,Kelsey Grammer,5.7,Transformers: Age of Extinction,Michael Bay Sophia Myles Bingbing Li Action Adventure Sci-Fi Kelsey Grammer
38,Sam Raimi,Mila Kunis,Adventure Family Fantasy,Tim Holmes,oz the great and powerful,James Franco,6.4,Oz the Great and Powerful,Sam Raimi Mila Kunis Tim Holmes Adventure Family Fantasy James Franco
39,Marc Webb,Andrew Garfield,Action Adventure Fantasy Sci-Fi,Emma Stone,the amazing spider-man 2,B.J. Novak,6.7,The Amazing Spider-Man 2,Marc Webb Andrew Garfield Emma Stone Action Adventure Fantasy Sci-Fi B.J. Novak
40,Joseph Kosinski,Olivia Wilde,Action Adventure Sci-Fi,Jeff Bridges,tron: legacy,James Frain,6.8,TRON: Legacy,Joseph Kosinski Olivia Wilde Jeff Bridges Action Adventure Sci-Fi James Frain
41,John Lasseter,Thomas Kretschmann,Adventure Animation Comedy Family Sport,Joe Mantegna,cars 2,Eddie Izzard,6.3,Cars 2,John Lasseter Thomas Kretschmann Joe Mantegna Adventure Animation Comedy Family Sport Eddie Izzard
42,Martin Campbell,Temuera Morrison,Action Adventure Sci-Fi,Ryan Reynolds,green lantern,Taika Waititi,5.6,Green Lantern,Martin Campbell Temuera Morrison Ryan Reynolds Action Adventure Sci-Fi Taika Waititi
43,Lee Unkrich,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Tom Hanks,toy story 3,Don Rickles,8.3,Toy Story 3,Lee Unkrich John Ratzenberger Tom Hanks Adventure Animation Comedy Family Fantasy Don Rickles
44,McG,Bryce Dallas Howard,Action Adventure Sci-Fi,Christian Bale,terminator salvation,Common,6.6,Terminator Salvation,McG Bryce Dallas Howard Christian Bale Action Adventure Sci-Fi Common
45,James Wan,Paul Walker,Action Crime Thriller,Jason Statham,furious 7,Vin Diesel,7.2,Furious 7,James Wan Paul Walker Jason Statham Action Crime Thriller Vin Diesel
46,Marc Forster,Brad Pitt,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,world war z,Mireille Enos,7.0,World War Z,Marc Forster Brad Pitt Peter Capaldi Action Adventure Horror Sci-Fi Thriller Mireille Enos
47,Bryan Singer,Peter Dinklage,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,x-men: days of future past,Hugh Jackman,8.0,X-Men: Days of Future Past,Bryan Singer Peter Dinklage Jennifer Lawrence Action Adventure Fantasy Sci-Fi Thriller Hugh Jackman
48,J.J. Abrams,Bruce Greenwood,Action Adventure Sci-Fi,Benedict Cumberbatch,star trek into darkness,Noel Clarke,7.8,Star Trek Into Darkness,J.J. Abrams Bruce Greenwood Benedict Cumberbatch Action Adventure Sci-Fi Noel Clarke
49,Bryan Singer,Ewen Bremner,Adventure Fantasy,Eddie Marsan,jack the giant slayer,Ralph Brown,6.3,Jack the Giant Slayer,Bryan Singer Ewen Bremner Eddie Marsan Adventure Fantasy Ralph Brown
50,Baz Luhrmann,Elizabeth Debicki,Drama Romance,Leonardo DiCaprio,the great gatsby,Steve Bisley,7.3,The Great Gatsby,Baz Luhrmann Elizabeth Debicki Leonardo DiCaprio Drama Romance Steve Bisley
51,Mike Newell,Richard Coyle,Action Adventure Fantasy Romance,Jake Gyllenhaal,prince of persia: the sands of time,Reece Ritchie,6.6,Prince of Persia: The Sands of Time,Mike Newell Richard Coyle Jake Gyllenhaal Action Adventure Fantasy Romance Reece Ritchie
52,Guillermo del Toro,Clifton Collins Jr.,Action Adventure Sci-Fi,Charlie Hunnam,pacific rim,Larry Joe Campbell,7.0,Pacific Rim,Guillermo del Toro Clifton Collins Jr. Charlie Hunnam Action Adventure Sci-Fi Larry Joe Campbell
53,Michael Bay,Lester Speight,Action Adventure Sci-Fi,Glenn Morshower,transformers: dark of the moon,Kevin Dunn,6.3,Transformers: Dark of the Moon,Michael Bay Lester Speight Glenn Morshower Action Adventure Sci-Fi Kevin Dunn
54,Steven Spielberg,Ray Winstone,Action Adventure Fantasy,Harrison Ford,indiana jones and the kingdom of the crystal skull,Jim Broadbent,6.2,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg Ray Winstone Harrison Ford Action Adventure Fantasy Jim Broadbent
55,Peter Sohn,Jack McGraw,Adventure Animation Comedy Family Fantasy,A.J. Buckley,the good dinosaur,Peter Sohn,6.8,The Good Dinosaur,Peter Sohn Jack McGraw A.J. Buckley Adventure Animation Comedy Family Fantasy Peter Sohn
56,Mark Andrews,John Ratzenberger,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,brave,Julie Walters,7.2,Brave,Mark Andrews John Ratzenberger Kelly Macdonald Adventure Animation Comedy Family Fantasy Julie Walters
57,Justin Lin,Melissa Roxburgh,Action Adventure Sci-Fi Thriller,Sofia Boutella,star trek beyond,Lydia Wilson,7.5,Star Trek Beyond,Justin Lin Melissa Roxburgh Sofia Boutella Action Adventure Sci-Fi Thriller Lydia Wilson
58,Andrew Stanton,Fred Willard,Adventure Animation Family Sci-Fi,John Ratzenberger,wall·e,Jeff Garlin,8.4,WALL·E,Andrew Stanton Fred Willard John Ratzenberger Adventure Animation Family Sci-Fi Jeff Garlin
59,Brett Ratner,Dana Ivey,Action Comedy Crime Thriller,Tzi Ma,rush hour 3,Noémie Lenoir,6.2,Rush Hour 3,Brett Ratner Dana Ivey Tzi Ma Action Comedy Crime Thriller Noémie Lenoir
60,Roland Emmerich,Liam James,Action Adventure Sci-Fi,Oliver Platt,2012,Tom McCarthy,5.8,2012,Roland Emmerich Liam James Oliver Platt Action Adventure Sci-Fi Tom McCarthy
61,Robert Zemeckis,Colin Firth,Animation Drama Family Fantasy,Robin Wright,a christmas carol,Gary Oldman,6.8,A Christmas Carol,Robert Zemeckis Colin Firth Robin Wright Animation Drama Family Fantasy Gary Oldman
62,Lana Wachowski,Mila Kunis,Action Adventure Sci-Fi,Channing Tatum,jupiter ascending,Eddie Redmayne,5.4,Jupiter Ascending,Lana Wachowski Mila Kunis Channing Tatum Action Adventure Sci-Fi Eddie Redmayne
63,David Yates,Alexander Skarsgård,Action Adventure Drama Romance,Christoph Waltz,the legend of tarzan,Casper Crump,6.6,The Legend of Tarzan,David Yates Alexander Skarsgård Christoph Waltz Action Adventure Drama Romance Casper Crump
64,Andrew Adamson,Kiran Shah,Adventure Family Fantasy,Jim Broadbent,"the chronicles of narnia: the lion, the witch and the wardrobe",Shane Rangi,6.9,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson Kiran Shah Jim Broadbent Adventure Family Fantasy Shane Rangi
65,Bryan Singer,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: apocalypse,Tye Sheridan,7.3,X-Men: Apocalypse,Bryan Singer Michael Fassbender Jennifer Lawrence Action Adventure Sci-Fi Tye Sheridan
66,Christopher Nolan,Heath Ledger,Action Crime Drama Thriller,Christian Bale,the dark knight,Morgan Freeman,9.0,The Dark Knight,Christopher Nolan Heath Ledger Christian Bale Action Crime Drama Thriller Morgan Freeman
67,Pete Docter,Delroy Lindo,Adventure Animation Comedy Family,John Ratzenberger,up,Jess Harnell,8.3,Up,Pete Docter Delroy Lindo John Ratzenberger Adventure Animation Comedy Family Jess Harnell
68,Rob Letterman,Rainn Wilson,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,monsters vs. aliens,Stephen Colbert,6.5,Monsters vs. Aliens,Rob Letterman Rainn Wilson Amy Poehler Action Adventure Animation Comedy Family Sci-Fi Stephen Colbert
69,Jon Favreau,Jeff Bridges,Action Adventure Sci-Fi,Robert Downey Jr.,iron man,Jon Favreau,7.9,Iron Man,Jon Favreau Jeff Bridges Robert Downey Jr. Action Adventure Sci-Fi Jon Favreau
70,Martin Scorsese,Christopher Lee,Adventure Drama Family Mystery,Chloë Grace Moretz,hugo,Ray Winstone,7.5,Hugo,Martin Scorsese Christopher Lee Chloë Grace Moretz Adventure Drama Family Mystery Ray Winstone
71,Barry Sonnenfeld,Salma Hayek,Action Comedy Sci-Fi Western,Will Smith,wild wild west,Bai Ling,4.8,Wild Wild West,Barry Sonnenfeld Salma Hayek Will Smith Action Comedy Sci-Fi Western Bai Ling
72,Rob Cohen,Brendan Fraser,Action Adventure Fantasy Horror Thriller,Jet Li,the mummy: tomb of the dragon emperor,Russell Wong,5.2,The Mummy: Tomb of the Dragon Emperor,Rob Cohen Brendan Fraser Jet Li Action Adventure Fantasy Horror Thriller Russell Wong
73,David Ayer,Robin Atkin Downes,Action Adventure Comedy Sci-Fi,Will Smith,suicide squad,Ike Barinholtz,6.9,Suicide Squad,David Ayer Robin Atkin Downes Will Smith Action Adventure Comedy Sci-Fi Ike Barinholtz
74,Tom Shadyac,Morgan Freeman,Comedy Family Fantasy,Jimmy Bennett,evan almighty,Steve Carell,5.4,Evan Almighty,Tom Shadyac Morgan Freeman Jimmy Bennett Comedy Family Fantasy Steve Carell
75,Doug Liman,Lara Pulver,Action Adventure Sci-Fi,Tom Cruise,edge of tomorrow,Noah Taylor,7.9,Edge of Tomorrow,Doug Liman Lara Pulver Tom Cruise Action Adventure Sci-Fi Noah Taylor
76,Kevin Reynolds,Rick Aviles,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,waterworld,Zakes Mokae,6.1,Waterworld,Kevin Reynolds Rick Aviles Jeanne Tripplehorn Action Adventure Sci-Fi Thriller Zakes Mokae
77,Stephen Sommers,Dennis Quaid,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,g.i. joe: the rise of cobra,Leo Howard,5.8,G.I. Joe: The Rise of Cobra,Stephen Sommers Dennis Quaid Joseph Gordon-Levitt Action Adventure Sci-Fi Thriller Leo Howard
78,Pete Docter,Mindy Kaling,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,inside out,Phyllis Smith,8.3,Inside Out,Pete Docter Mindy Kaling Amy Poehler Adventure Animation Comedy Drama Family Fantasy Phyllis Smith
79,Jon Favreau,Bill Murray,Adventure Drama Family Fantasy,Scarlett Johansson,the jungle book,Garry Shandling,7.8,The Jungle Book,Jon Favreau Bill Murray Scarlett Johansson Adventure Drama Family Fantasy Garry Shandling
80,Jon Favreau,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,iron man 2,Jon Favreau,7.0,Iron Man 2,Jon Favreau Scarlett Johansson Robert Downey Jr. Action Adventure Sci-Fi Jon Favreau
81,Rupert Sanders,Kristen Stewart,Action Adventure Drama Fantasy,Chris Hemsworth,snow white and the huntsman,Sam Claflin,6.1,Snow White and the Huntsman,Rupert Sanders Kristen Stewart Chris Hemsworth Action Adventure Drama Fantasy Sam Claflin
82,Robert Stromberg,Sharlto Copley,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,maleficent,Sam Riley,7.0,Maleficent,Robert Stromberg Sharlto Copley Angelina Jolie Pitt Action Adventure Family Fantasy Romance Sam Riley
83,Matt Reeves,Judy Greer,Action Adventure Drama Sci-Fi,Gary Oldman,dawn of the planet of the apes,Kodi Smit-McPhee,7.6,Dawn of the Planet of the Apes,Matt Reeves Judy Greer Gary Oldman Action Adventure Drama Sci-Fi Kodi Smit-McPhee
84,Roland Joffé,Alice Englert,Action Adventure Romance Sci-Fi,Tamsin Egerton,the lovers,Bipasha Basu,4.5,The Lovers,Roland Joffé Alice Englert Tamsin Egerton Action Adventure Romance Sci-Fi Bipasha Basu
85,Carl Rinsch,Cary-Hiroyuki Tagawa,Action Adventure Drama Fantasy,Keanu Reeves,47 ronin,Jin Akanishi,6.3,47 Ronin,Carl Rinsch Cary-Hiroyuki Tagawa Keanu Reeves Action Adventure Drama Fantasy Jin Akanishi
86,Anthony Russo,Chris Evans,Action Adventure Sci-Fi,Scarlett Johansson,captain america: the winter soldier,Hayley Atwell,7.8,Captain America: The Winter Soldier,Anthony Russo Chris Evans Scarlett Johansson Action Adventure Sci-Fi Hayley Atwell
87,Mike Mitchell,Kathy Griffin,Adventure Animation Comedy Family Fantasy,Jon Hamm,shrek forever after,Mary Kay Place,6.4,Shrek Forever After,Mike Mitchell Kathy Griffin Jon Hamm Adventure Animation Comedy Family Fantasy Mary Kay Place
88,Brad Bird,Chris Bauer,Action Adventure Family Mystery Sci-Fi,Judy Greer,tomorrowland,Thomas Robinson,6.5,Tomorrowland,Brad Bird Chris Bauer Judy Greer Action Adventure Family Mystery Sci-Fi Thomas Robinson
89,Don Hall,Daniel Henney,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,big hero 6,Abraham Benrubi,7.9,Big Hero 6,Don Hall Daniel Henney Damon Wayans Jr. Action Adventure Animation Comedy Drama Family Sci-Fi Abraham Benrubi
90,Rich Moore,Sarah Silverman,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,wreck-it ralph,Joe Lo Truglio,7.8,Wreck-It Ralph,Rich Moore Sarah Silverman Jack McBrayer Adventure Animation Comedy Family Sci-Fi Joe Lo Truglio
91,Robert Zemeckis,Eddie Deezen,Adventure Animation Family Fantasy,Tom Hanks,the polar express,Peter Scolari,6.6,The Polar Express,Robert Zemeckis Eddie Deezen Tom Hanks Adventure Animation Family Fantasy Peter Scolari
92,Roland Emmerich,Sela Ward,Action Adventure Sci-Fi,Vivica A. Fox,independence day: resurgence,Judd Hirsch,5.5,Independence Day: Resurgence,Roland Emmerich Sela Ward Vivica A. Fox Action Adventure Sci-Fi Judd Hirsch
93,Dean DeBlois,America Ferrera,Adventure Animation Family Fantasy,Gerard Butler,how to train your dragon,Craig Ferguson,8.2,How to Train Your Dragon,Dean DeBlois America Ferrera Gerard Butler Adventure Animation Family Fantasy Craig Ferguson
94,Jonathan Mostow,M.C. Gainey,Action Sci-Fi,Nick Stahl,terminator 3: rise of the machines,Carolyn Hennesy,6.4,Terminator 3: Rise of the Machines,Jonathan Mostow M.C. Gainey Nick Stahl Action Sci-Fi Carolyn Hennesy
95,James Gunn,Vin Diesel,Action Adventure Sci-Fi,Bradley Cooper,guardians of the galaxy,Djimon Hounsou,8.1,Guardians of the Galaxy,James Gunn Vin Diesel Bradley Cooper Action Adventure Sci-Fi Djimon Hounsou
96,Christopher Nolan,Anne Hathaway,Adventure Drama Sci-Fi,Matthew McConaughey,interstellar,Mackenzie Foy,8.6,Interstellar,Christopher Nolan Anne Hathaway Matthew McConaughey Adventure Drama Sci-Fi Mackenzie Foy
97,Christopher Nolan,Tom Hardy,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,inception,Joseph Gordon-Levitt,8.8,Inception,Christopher Nolan Tom Hardy Leonardo DiCaprio Action Adventure Sci-Fi Thriller Joseph Gordon-Levitt
98,Hideaki Anno,Shin'ya Tsukamoto,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,godzilla resurgence,Atsuko Maeda,8.2,Godzilla Resurgence,Hideaki Anno Shin'ya Tsukamoto Mark Chinnery Action Adventure Drama Horror Sci-Fi Atsuko Maeda
99,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,the hobbit: an unexpected journey,James Nesbitt,7.9,The Hobbit: An Unexpected Journey,Peter Jackson Adam Brown Aidan Turner Adventure Fantasy James Nesbitt
100,Rob Cohen,Vin Diesel,Action Crime Thriller,Paul Walker,the fast and the furious,Jordana Brewster,6.7,The Fast and the Furious,Rob Cohen Vin Diesel Paul Walker Action Crime Thriller Jordana Brewster
101,David Fincher,Jason Flemyng,Drama Fantasy Romance,Brad Pitt,the curious case of benjamin button,Julia Ormond,7.8,The Curious Case of Benjamin Button,David Fincher Jason Flemyng Brad Pitt Drama Fantasy Romance Julia Ormond
102,Matthew Vaughn,Michael Fassbender,Action Adventure Sci-Fi,Jennifer Lawrence,x-men: first class,Oliver Platt,7.8,X-Men: First Class,Matthew Vaughn Michael Fassbender Jennifer Lawrence Action Adventure Sci-Fi Oliver Platt
103,Francis Lawrence,Philip Seymour Hoffman,Adventure Sci-Fi,Jennifer Lawrence,the hunger games: mockingjay - part 2,Josh Hutcherson,6.6,The Hunger Games: Mockingjay - Part 2,Francis Lawrence Philip Seymour Hoffman Jennifer Lawrence Adventure Sci-Fi Josh Hutcherson
104,Jon Turteltaub,Omar Benson Miller,Action Adventure Family Fantasy,Nicolas Cage,the sorcerer's apprentice,Robert Capron,6.1,The Sorcerer's Apprentice,Jon Turteltaub Omar Benson Miller Nicolas Cage Action Adventure Family Fantasy Robert Capron
105,Wolfgang Petersen,Mike Vogel,Action Adventure Drama Thriller,Jimmy Bennett,poseidon,Andre Braugher,5.6,Poseidon,Wolfgang Petersen Mike Vogel Jimmy Bennett Action Adventure Drama Thriller Andre Braugher
106,James Bobin,Alan Rickman,Adventure Family Fantasy,Johnny Depp,alice through the looking glass,Anne Hathaway,6.4,Alice Through the Looking Glass,James Bobin Alan Rickman Johnny Depp Adventure Family Fantasy Anne Hathaway
107,Chris Miller,Eric Idle,Adventure Animation Comedy Family Fantasy,Justin Timberlake,shrek the third,Rupert Everett,6.1,Shrek the Third,Chris Miller Eric Idle Justin Timberlake Adventure Animation Comedy Family Fantasy Rupert Everett
108,Duncan Jones,Callum Rennie,Action Adventure Fantasy,Dominic Cooper,warcraft,Ruth Negga,7.3,Warcraft,Duncan Jones Callum Rennie Dominic Cooper Action Adventure Fantasy Ruth Negga
109,Alan Taylor,Emilia Clarke,Action Adventure Sci-Fi,J.K. Simmons,terminator genisys,Matt Smith,6.6,Terminator Genisys,Alan Taylor Emilia Clarke J.K. Simmons Action Adventure Sci-Fi Matt Smith
110,Michael Apted,Shane Rangi,Adventure Family Fantasy,Bruce Spence,the chronicles of narnia: the voyage of the dawn treader,Laura Brent,6.3,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted Shane Rangi Bruce Spence Adventure Family Fantasy Laura Brent
111,Michael Bay,Jaime King,Action Drama History Romance War,Jennifer Garner,pearl harbor,Mako,6.1,Pearl Harbor,Michael Bay Jaime King Jennifer Garner Action Drama History Romance War Mako
112,Michael Bay,Michael O'Neill,Action Adventure Sci-Fi,Zack Ward,transformers,Kevin Dunn,7.1,Transformers,Michael Bay Michael O'Neill Zack Ward Action Adventure Sci-Fi Kevin Dunn
113,Oliver Stone,Angelina Jolie Pitt,Action Adventure Biography Drama History Romance War,Anthony Hopkins,alexander,Brian Blessed,5.5,Alexander,Oliver Stone Angelina Jolie Pitt Anthony Hopkins Action Adventure Biography Drama History Romance War Brian Blessed
114,David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the order of the phoenix,Fiona Shaw,7.5,Harry Potter and the Order of the Phoenix,David Yates Daniel Radcliffe Robert Pattinson Adventure Family Fantasy Mystery Fiona Shaw
115,Mike Newell,Daniel Radcliffe,Adventure Family Fantasy Mystery,Robert Pattinson,harry potter and the goblet of fire,Rupert Grint,7.6,Harry Potter and the Goblet of Fire,Mike Newell Daniel Radcliffe Robert Pattinson Adventure Family Fantasy Mystery Rupert Grint
116,Peter Berg,Charlize Theron,Action Drama,Will Smith,hancock,Eddie Marsan,6.4,Hancock,Peter Berg Charlize Theron Will Smith Action Drama Eddie Marsan
